"EKATTE","Postcode","Name","Mun_code","Mun_name","Reg_code","Reg_name"
12067,7175,Волово,RSE03,Борово,RSE,Русе
22277,7123,Долна Студена,RSE37,Ценово,RSE,Русе
02467,7265,Балкански,RAZ26,Разград,RAZ,Разград
30404,7842,Захари Стояново,TGV24,Попово,TGV,Търговище
02868,7169,Батишница,RSE08,Две могили,RSE,Русе
06519,7177,Брестовица,RSE03,Борово,RSE,Русе
36703,7160,Кацелово,RSE08,Две могили,RSE,Русе
78433,7083,Церовец,RSE13,Иваново,RSE,Русе
54362,7161,Острица,RSE08,Две могили,RSE,Русе
78361,7139,Ценово,RSE37,Ценово,RSE,Русе
56366,7129,Пиперково,RSE37,Ценово,RSE,Русе
36316,7130,Караманово,RSE37,Ценово,RSE,Русе
67787,5283,Совата,VTR28,Свищов,VTR,Велико Търново
07363,5284,Българско Сливово,VTR28,Свищов,VTR,Велико Търново
83301,7159,Широково,RSE08,Две могили,RSE,Русе
27156,7274,Езерче,RAZ36,Цар Калоян,RAZ,Разград
54105,7267,Осенец,RAZ26,Разград,RAZ,Разград
38830,7273,Костанденец,RAZ36,Цар Калоян,RAZ,Разград
03745,7138,Белцов,RSE37,Ценово,RSE,Русе
53117,7170,Обретеник,RSE03,Борово,RSE,Русе
20849,7137,Джулюница,RSE37,Ценово,RSE,Русе
65509,7082,Сваленик,RSE13,Иваново,RSE,Русе
53672,5280,Ореш,VTR28,Свищов,VTR,Велико Търново
55837,7158,Пепелина,RSE08,Две могили,RSE,Русе
78121,5282,Царевец,VTR28,Свищов,VTR,Велико Търново
20184,7150,Две могили,RSE08,Две могили,RSE,Русе
23902,7268,Дряновец,RAZ26,Разград,RAZ,Разград
51977,7133,Новград,RSE37,Ценово,RSE,Русе
77308,7280,Цар Калоян,RAZ36,Цар Калоян,RAZ,Разград
72028,7085,Табачка,RSE13,Иваново,RSE,Русе
03808,7134,Беляново,RSE37,Ценово,RSE,Русе
10118,5281,Вардим,VTR28,Свищов,VTR,Велико Търново
27173,7171,Екзарх Йосиф,RSE03,Борово,RSE,Русе
80443,7084,Червен,RSE13,Иваново,RSE,Русе
65766,5250,Свищов,VTR28,Свищов,VTR,Велико Търново
39788,7132,Кривина,RSE37,Ценово,RSE,Русе
16674,7173,Горно Абланово,RSE03,Борово,RSE,Русе
66229,7038,Сеново,RSE05,Ветово,RSE,Русе
51768,7079,Нисово,RSE13,Иваново,RSE,Русе
39832,7037,Кривня,RSE05,Ветово,RSE,Русе
02854,7172,Батин,RSE03,Борово,RSE,Русе
39205,7087,Кошов,RSE13,Иваново,RSE,Русе
73362,7092,Тръстеник,RSE13,Иваново,RSE,Русе
56441,7081,Писанец,RSE05,Ветово,RSE,Русе
32095,7088,Иваново,RSE13,Иваново,RSE,Русе
10803,7080,Ветово,RSE05,Ветово,RSE,Русе
47977,7091,Мечка,RSE13,Иваново,RSE,Русе
04981,7089,Божичен,RSE13,Иваново,RSE,Русе
05164,5080,Бойковци,VTR13,Елена,VTR,Велико Търново
10522,5097,Велковци,VTR13,Елена,VTR,Велико Търново
36854,8998,Кипилово,SLV11,Котел,SLV,Сливен
62360,5087,Ребревци,VTR13,Елена,VTR,Велико Търново
69609,5365,Стражата,GAB35,Трявна,GAB,Габрово
32682,5093,Илиювци,VTR13,Елена,VTR,Велико Търново
56900,5365,Побък,GAB35,Трявна,GAB,Габрово
35729,5083,Каменари,VTR13,Елена,VTR,Велико Търново
12396,5041,Въглевци,VTR04,Велико Търново,VTR,Велико Търново
63495,5079,Руховци,VTR13,Елена,VTR,Велико Търново
14578,5041,Гащевци,VTR04,Велико Търново,VTR,Велико Търново
12629,5086,Вълчовци,VTR13,Елена,VTR,Велико Търново
